target_month,season,mean,q05,q95,el_nino_prob,neutral_prob,la_nina_prob,source,issued
2026-05-01,AMJ 2026,0.622,0.222,1.022,70,30,0,IRI ENSO Quick Look,2026-04-20
2026-06-01,MJJ 2026,0.928,0.478,1.378,88,12,0,IRI ENSO Quick Look,2026-04-20
2026-07-01,JJA 2026,1.199,0.649,1.749,92,8,0,IRI ENSO Quick Look,2026-04-20
2026-08-01,JAS 2026,1.423,0.773,2.073,94,6,0,IRI ENSO Quick Look,2026-04-20
2026-09-01,ASO 2026,1.456,0.706,2.206,92,8,0,IRI ENSO Quick Look,2026-04-20
2026-10-01,SON 2026,1.573,0.723,2.423,92,8,0,IRI ENSO Quick Look,2026-04-20
