horizon,model,origin,target,mean,std,q05,q25,q50,q75,q95,n_seeds
1,mamba,2026-04-01,2026-05-01,0.5409562468528748,0.06533097013625795,0.4456293791532516,0.48442935943603516,0.5539371073246002,0.5741083920001984,0.632883208990097,10
2,tcn,2026-04-01,2026-06-01,0.7939233601093292,0.09728002152732707,0.6752661734819412,0.7252471446990967,0.7758342325687408,0.8557557910680771,0.9493354380130767,10
3,transformer,2026-04-01,2026-07-01,0.8516169488430023,0.10252184234948741,0.6977199494838715,0.7818951606750488,0.8605606257915497,0.9212795943021774,0.9921264141798019,10
4,transformer,2026-04-01,2026-08-01,0.7421569436788559,0.1527756751156226,0.5334529176354408,0.6332944631576538,0.7226322889328003,0.8419191390275955,0.9720583945512771,10
5,tcn,2026-04-01,2026-09-01,0.662826544046402,0.19596189083026797,0.32756666243076327,0.5869771093130112,0.6958556175231934,0.7877795845270157,0.9083815425634383,10
6,transformer,2026-04-01,2026-10-01,0.7072012692689895,0.20058161291732224,0.4156481221318245,0.5959033071994781,0.7539136707782745,0.7718301266431808,0.9952495694160458,10
